transaction_ID,Customer ID,Transaction_Date,transaction_amount,product_service type,transaction_fees,Operational expenses
TRANS00000,CUST0012,2023-07-27,8276.5,Mortgage,36.58,250.71
TRANS00001,CUST0298,2023-06-11,7938.65,Insurance,151.95,145.29
TRANS00002,CUST0423,2023-02-19,9635.4,Mortgage,11.1,478.41
TRANS00003,CUST0397,2023-03-29,6411.63,Investment,177.88,106.17
TRANS00004,CUST0797,2023-05-03,8912.1,Insurance,144.75,211.14
TRANS00005,CUST0086,2023-01-26,5667.09,Investment,31.03,268.33
TRANS00006,CUST0742,2023-01-02,6580.5,Mortgage,64.13,71.09
TRANS00007,CUST0922,2023-07-02,4616.46,Mortgage,35.4,406.99
TRANS00008,CUST0572,2023-06-10,3474.46,Personal loan,90.0,186.22
TRANS00009,CUST0926,2023-05-05,8270.58,Personal loan,72.93,371.68
TRANS00010,CUST0248,2023-01-30,8184.23,Mortgage,16.01,334.82
TRANS00011,CUST0585,2023-08-25,8458.74,Investment,136.58,214.15
TRANS00012,CUST0533,2023-01-28,3386.53,Insurance,190.19,407.32
TRANS00013,CUST0173,2023-07-03,7697.42,Investment,192.34,97.22
TRANS00014,CUST0701,2023-09-02,6039.52,Investment,196.76,81.79
TRANS00015,CUST0389,2023-01-14,7194.91,Investment,32.57,263.35
TRANS00016,CUST0173,2023-08-05,3696.62,Investment,102.92,349.42
TRANS00017,CUST0142,2023-05-19,4580.07,Insurance,104.16,25.56
TRANS00018,CUST0275,2023-02-04,1064.63,Personal loan,139.53,333.83
TRANS00019,CUST0308,2023-07-07,6623.21,Personal loan,34.21,341.69
TRANS00020,CUST0274,2023-04-03,121.75,Insurance,152.71,222.78
TRANS00021,CUST0504,2023-09-13,3615.88,Insurance,158.26,46.17
TRANS00022,CUST0149,2023-03-06,6373.25,Investment,85.98,223.99
TRANS00023,CUST0064,2023-07-29,8019.14,Insurance,147.94,376.19
TRANS00024,CUST0171,2023-08-19,5522.14,Personal loan,150.96,75.66
TRANS00025,CUST0445,2023-05-15,3801.51,Mortgage,166.87,407.42
TRANS00026,CUST0282,2023-01-31,1152.59,Mortgage,34.97,455.94
TRANS00027,CUST0431,2023-04-15,8979.08,Mortgage,191.96,260.99
TRANS00028,CUST0306,2023-05-17,4974.98,Investment,160.62,394.88
TRANS00029,CUST0495,2023-05-29,8236.2,Personal loan,33.96,361.77
TRANS00030,CUST0801,2023-03-16,7450.86,Mortgage,75.38,425.2
TRANS00031,CUST0078,2023-04-10,4151.19,Investment,12.59,486.45
TRANS00032,CUST0369,2023-01-15,2617.46,Mortgage,140.04,73.6
TRANS00033,CUST0257,2023-08-23,2039.62,Insurance,19.89,105.84
TRANS00034,CUST0966,2023-01-29,1295.38,Insurance,167.67,223.55
TRANS00035,CUST0252,2023-08-05,8536.72,Investment,91.64,384.61
TRANS00036,CUST0738,2023-05-18,2234.34,Investment,123.45,437.75
TRANS00037,CUST0640,2023-07-17,8263.09,Investment,11.53,58.4
TRANS00038,CUST0507,2023-01-01,1986.73,Investment,101.24,23.34
TRANS00039,CUST0608,2023-05-14,3445.54,Mortgage,63.62,475.14
TRANS00040,CUST0631,2023-05-15,7595.78,Investment,25.7,359.63
TRANS00041,CUST0200,2023-07-31,560.35,Investment,91.5,143.76
TRANS00042,CUST0468,2023-01-31,6369.08,Investment,127.35,267.15
TRANS00043,CUST0109,2023-02-07,6754.2,Insurance,148.56,314.97
TRANS00044,CUST0138,2023-05-05,1319.87,Personal loan,45.5,438.66
TRANS00045,CUST0311,2023-06-25,8928.37,Insurance,63.42,228.75
TRANS00046,CUST0006,2023-04-12,4628.14,Insurance,31.85,243.09
TRANS00047,CUST0971,2023-04-16,5934.23,Insurance,60.07,39.13
TRANS00048,CUST0405,2023-08-29,5091.56,Personal loan,143.18,436.59
TRANS00049,CUST0340,2023-06-02,9642.16,Personal loan,136.6,240.92
TRANS00050,CUST0861,2023-09-17,142.94,Insurance,91.54,44.04
TRANS00051,CUST0635,2023-05-23,7388.52,Investment,100.04,307.68
TRANS00052,CUST0389,2023-04-07,5576.94,Insurance,158.72,197.26
TRANS00053,CUST0823,2023-08-22,4384.82,Insurance,29.58,224.34
TRANS00054,CUST0882,2023-09-16,5892.7,Insurance,148.79,344.0
TRANS00055,CUST0337,2023-02-15,9251.27,Personal loan,126.11,388.08
TRANS00056,CUST0450,2023-06-04,7832.71,Insurance,45.85,31.29
TRANS00057,CUST0342,2023-01-19,9110.8,Mortgage,172.43,148.27
TRANS00058,CUST0440,2023-09-09,6949.0,Insurance,129.49,160.76
TRANS00059,CUST0835,2023-07-11,1819.14,Insurance,38.26,220.19
TRANS00060,CUST0843,2023-07-03,8170.92,Mortgage,32.89,234.45
TRANS00061,CUST0880,2023-01-02,1125.18,Insurance,86.24,162.89
TRANS00062,CUST0666,2023-01-20,6609.47,Insurance,62.03,37.1
TRANS00063,CUST0997,2023-04-21,6100.99,Insurance,46.51,73.61
TRANS00064,CUST0608,2023-01-05,3286.25,Investment,37.78,371.31
TRANS00065,CUST0139,2023-08-17,8825.77,Investment,13.36,275.01
TRANS00066,CUST0307,2023-04-06,4244.78,Investment,47.93,210.18
TRANS00067,CUST0328,2023-01-05,6129.04,Mortgage,174.23,104.11
TRANS00068,CUST0617,2023-05-01,6955.9,Insurance,82.27,276.79
TRANS00069,CUST0970,2023-05-04,2557.56,Insurance,109.74,80.51
TRANS00070,CUST0711,2023-05-02,4038.91,Investment,143.03,89.43
TRANS00071,CUST0205,2023-02-15,3494.3,Mortgage,196.22,256.86
TRANS00072,CUST0490,2023-07-29,3012.32,Mortgage,52.14,448.5
TRANS00073,CUST0321,2023-04-18,8067.49,Mortgage,90.95,185.79
TRANS00074,CUST0181,2023-01-08,1467.98,Investment,21.66,239.85
TRANS00075,CUST0987,2023-04-07,6064.99,Investment,91.14,316.28
TRANS00076,CUST0407,2023-08-23,8875.72,Insurance,19.81,461.01
TRANS00077,CUST0991,2023-08-01,5171.72,Insurance,30.91,453.72
TRANS00078,CUST0326,2023-02-28,8446.44,Insurance,79.08,467.49
TRANS00079,CUST0298,2023-03-11,5523.28,Investment,189.17,413.83
TRANS00080,CUST0752,2023-02-01,3207.72,Investment,145.2,293.15
TRANS00081,CUST0711,2023-07-29,7394.5,Mortgage,56.92,39.51
TRANS00082,CUST0648,2023-01-10,5580.46,Investment,180.07,176.76
TRANS00083,CUST0502,2023-09-22,2251.69,Insurance,44.53,38.38
TRANS00084,CUST0990,2023-03-23,2176.16,Insurance,10.1,312.49
TRANS00085,CUST0589,2023-08-17,7172.41,Investment,135.48,367.43
TRANS00086,CUST0800,2023-05-29,6897.45,Personal loan,71.11,409.99
TRANS00087,CUST0248,2023-06-02,9219.8,Mortgage,64.21,68.54
TRANS00088,CUST0333,2023-03-04,1413.45,Investment,63.23,266.06
TRANS00089,CUST0385,2023-01-16,7132.92,Personal loan,125.24,368.19
TRANS00090,CUST0287,2023-04-03,9754.28,Insurance,91.87,182.13
TRANS00091,CUST0836,2023-07-19,1860.35,Investment,57.93,325.64
TRANS00092,CUST0804,2023-05-25,5470.67,Mortgage,103.34,164.95
TRANS00093,CUST0402,2023-07-31,6405.09,Personal loan,73.51,212.36
TRANS00094,CUST0373,2023-08-04,7132.49,Personal loan,31.19,108.29
TRANS00095,CUST0116,2023-06-05,7631.67,Investment,137.1,378.45
TRANS00096,CUST0954,2023-04-19,5666.57,Investment,139.76,366.37
TRANS00097,CUST0577,2023-09-02,5869.78,Personal loan,156.39,376.49
TRANS00098,CUST0204,2023-01-09,9432.47,Insurance,34.76,58.06
TRANS00099,CUST0606,2023-09-14,7130.22,Mortgage,78.51,457.93
